Caller,Callee,Call Type,Radare2,Ghidra,Angr_Fast,Angr_Emul,GCC
bfd_core_file_failing_signal,bfd_set_error,High-High,Y,N,N,N,N
bfd_core_file_pid,bfd_set_error,High-High,Y,N,N,N,N
bfd_create,bfd_delete_bfd,High-High,Y,N,N,N,N
bfd_create,bfd_new_bfd,High-High,Y,N,N,N,N
bfd_create,bfd_set_filename,High-High,Y,N,N,N,N
bfd_create,bfd_set_format,High-High,Y,N,N,N,N
bfd_create_gnu_debuglink_section,bfd_set_error,High-High,Y,N,N,N,N
bfd_create_gnu_debuglink_section,bfd_set_section_size,High-High,Y,N,N,N,N
bfd_create_gnu_debuglink_section,imp.strlen,High-High,Y,N,N,N,N
bfd_create_gnu_debuglink_section,lbasename,High-High,Y,N,N,N,N
bfd_decode_symclass,imp.memchr,High-High,Y,N,N,N,N
bfd_decode_symclass,imp.strlen,High-High,Y,N,N,N,N
bfd_decode_symclass,imp.strncmp,High-High,Y,N,N,N,N
bfd_default_scan,imp.strcasecmp,High-High,Y,N,N,N,N
bfd_default_scan,imp.strchr,High-High,Y,N,N,N,N
bfd_default_scan,imp.strlen,High-High,Y,N,N,N,N
bfd_default_scan,imp.strncasecmp,High-High,Y,N,N,N,N
bfd_delete_bfd,bfd_hash_table_free,High-High,Y,N,Y,N,N
bfd_delete_bfd,free,High-High,N,N,Y,N,N
bfd_delete_bfd,imp.munmap,High-High,Y,N,N,N,N
bfd_delete_bfd,munmap,High-High,N,N,Y,N,N
bfd_delete_bfd,objalloc_free,High-High,Y,N,Y,N,N
bfd_demangle,bfd_malloc,High-High,Y,N,Y,N,N
bfd_demangle,cplus_demangle,High-High,Y,N,Y,N,N
bfd_demangle,free,High-High,N,Y,Y,N,N
bfd_demangle,imp.memcpy,High-High,Y,N,N,N,N
bfd_demangle,imp.strchr,High-High,Y,N,N,N,N
bfd_demangle,imp.strlen,High-High,Y,N,N,N,N
bfd_demangle,memcpy,High-High,N,N,Y,N,N
bfd_demangle,strchr,High-High,N,Y,Y,N,N
bfd_demangle,strlen,High-High,N,N,Y,N,N
bfd_doprnt,bfd_abort,High-High,Y,N,Y,N,N
bfd_doprnt,imp.__sprintf_chk,High-High,Y,N,N,N,N
bfd_doprnt,imp.__stack_chk_fail,High-High,Y,N,N,N,N
bfd_doprnt,imp.strchr,High-High,Y,N,N,N,N
bfd_doprnt,sprintf_chk,High-High,N,N,Y,N,N
bfd_doprnt,stack_chk_fail,High-High,N,N,Y,N,N
bfd_doprnt,strchr,High-High,N,N,Y,N,N
bfd_doprnt_scan,bfd_abort,High-High,Y,N,Y,N,N
bfd_doprnt_scan,imp.strchr,High-High,Y,N,N,N,N
bfd_doprnt_scan,strchr,High-High,N,N,Y,N,N
bfd_dummy_target,bfd_set_error,High-High,Y,N,N,N,N
bfd_dwarf2_cleanup_debug_info,bfd_close,High-High,Y,N,N,N,N
bfd_dwarf2_cleanup_debug_info,bfd_hash_table_free,High-High,Y,N,N,N,N
bfd_dwarf2_cleanup_debug_info,htab_delete,High-High,Y,N,N,N,N
bfd_dwarf2_cleanup_debug_info,splay_tree_delete,High-High,Y,N,N,N,N
bfd_dwarf2_slurp_debug_info,bfd_check_format,High-High,Y,N,N,N,N
bfd_dwarf2_slurp_debug_info,bfd_close,High-High,Y,N,N,N,N
bfd_dwarf2_slurp_debug_info,bfd_dwarf2_cleanup_debug_info,High-High,Y,N,N,N,N
