Function Name,Category,Radare2,Ghidra,Angr_Fast,Angr_Emul
bfd_elf_get_symtab_upper_bound,Low-Level,✓,✗,✗,✗
bfd_elf_get_synthetic_symtab,Low-Level,✓,✗,✗,✗
bfd_elf_link_add_dt_relr_dependency,Low-Level,✓,✗,✗,✗
bfd_elf_link_add_glibc_version_dependency,Low-Level,✓,✗,✗,✗
bfd_elf_link_add_symbols,Low-Level,✓,✗,✗,✗
bfd_elf_link_assign_sym_version,Low-Level,✓,✗,✗,✗
bfd_elf_link_create_dynamic_sections,Low-Level,✓,✗,✗,✗
bfd_elf_link_create_dynstrtab,Low-Level,✓,✗,✗,✗
bfd_elf_link_create_gnu_property_sec,Low-Level,✓,✗,✗,✗
bfd_elf_link_find_version_dependencies,Low-Level,✓,✗,✗,✗
bfd_elf_link_hash_copy_indirect,Low-Level,✓,✗,✗,✗
bfd_elf_link_hash_hide_symbol,Low-Level,✓,✗,✗,✗
bfd_elf_link_hash_newfunc,Low-Level,✓,✗,✗,✗
bfd_elf_link_hash_table_create,Low-Level,✓,✗,✗,✗
bfd_elf_link_hash_table_free,Low-Level,✓,✗,✗,✗
bfd_elf_link_hide_sym_by_version,Low-Level,✓,✗,✗,✗
bfd_elf_link_hide_symbol,Low-Level,✓,✗,✗,✗
bfd_elf_link_hide_versioned_symbol.constprop.0,Low-Level,✓,✗,✗,✗
bfd_elf_link_iterate_on_relocs,Low-Level,✓,✗,✗,✗
bfd_elf_link_keep_memory,Low-Level,✓,✗,✗,✗
bfd_elf_link_mark_dynamic_symbol,Low-Level,✓,✗,✗,✗
bfd_elf_link_mmap_section_contents,Low-Level,✓,✗,✗,✗
bfd_elf_link_munmap_section_contents,Low-Level,✓,✗,✗,✗
bfd_elf_link_record_dynamic_symbol,Low-Level,✓,✗,✗,✗
bfd_elf_link_record_local_dynamic_symbol,Low-Level,✓,✗,✗,✗
bfd_elf_link_renumber_dynsyms,Low-Level,✓,✗,✗,✗
bfd_elf_link_sec_merge_syms,Low-Level,✓,✗,✗,✗
bfd_elf_link_size_reloc_section,Low-Level,✓,✗,✗,✗
bfd_elf_lookup_section_flags,Low-Level,✓,✗,✗,✗
bfd_elf_make_dynamic_reloc_section,Low-Level,✓,✗,✗,✗
bfd_elf_make_dynamic_segment,Low-Level,✓,✗,✗,✗
bfd_elf_make_empty_symbol,Low-Level,✓,✗,✗,✗
bfd_elf_make_section_from_phdr,Low-Level,✓,✗,✗,✗
bfd_elf_make_section_from_shdr,Low-Level,✓,✗,✗,✗
bfd_elf_map_sections_to_segments,Low-Level,✓,✗,✗,✗
bfd_elf_match_symbols_in_sections,Low-Level,✓,✗,✗,✗
bfd_elf_maybe_set_textrel,Low-Level,✓,✗,✗,✗
bfd_elf_maybe_strip_eh_frame_hdr,Low-Level,✓,✗,✗,✗
bfd_elf_maybe_vxworks_add_dynamic_tags,Low-Level,✓,✗,✗,✗
bfd_elf_merge_object_attributes,Low-Level,✓,✗,✗,✗
bfd_elf_merge_section_sframe,Low-Level,✓,✗,✗,✗
bfd_elf_merge_sections,Low-Level,✓,✗,✗,✗
bfd_elf_merge_symbol.constprop.0,Low-Level,✓,✗,✗,✗
bfd_elf_merge_unknown_attribute_list,Low-Level,✓,✗,✗,✗
bfd_elf_merge_unknown_attribute_low,Low-Level,✓,✗,✗,✗
bfd_elf_mmap_section_contents,Low-Level,✓,✗,✗,✗
bfd_elf_munmap_section_contents,Low-Level,✓,✗,✗,✗
bfd_elf_new_section_hook,Low-Level,✓,✗,✗,✗
bfd_elf_no_info_to_howto,Low-Level,✓,✗,✗,✗
bfd_elf_notice_as_needed,Low-Level,✓,✗,✗,✗
bfd_elf_obj_attr_size,Low-Level,✓,✗,✗,✗
bfd_elf_obj_attrs_arg_type,Low-Level,✓,✗,✗,✗
bfd_elf_omit_section_dynsym_default,Low-Level,✓,✗,✗,✗
bfd_elf_perform_complex_relocation,Low-Level,✓,✗,✗,✗
bfd_elf_plt_get_reloc_section,Low-Level,✓,✗,✗,✗
bfd_elf_record_link_assignment,Low-Level,✓,✗,✗,✗
bfd_elf_rel_local_sym,Low-Level,✓,✗,✗,✗
bfd_elf_rela_local_sym,Low-Level,✓,✗,✗,✗
bfd_elf_reloc_symbol_deleted_p,Low-Level,✓,✗,✗,✗
bfd_elf_section_for_symbol,Low-Level,✓,✗,✗,✗
bfd_elf_section_from_bfd_section,Low-Level,✓,✗,✗,✗
bfd_elf_section_offset,Low-Level,✓,✗,✗,✗
bfd_elf_set_group_contents,Low-Level,✓,✗,✗,✗
bfd_elf_set_reloc_sh_name,Low-Level,✓,✗,✗,✗
bfd_elf_set_section_contents,Low-Level,✓,✗,✗,✗
bfd_elf_set_section_sframe,Low-Level,✓,✗,✗,✗
bfd_elf_sframe_present,Low-Level,✓,✗,✗,✗
bfd_elf_single_rel_hdr,Low-Level,✓,✗,✗,✗
bfd_elf_size_dynamic_sections,Low-Level,✓,✗,✗,✗
bfd_elf_size_dynsym_hash_dynstr,Low-Level,✓,✗,✗,✗
bfd_elf_size_group_sections,Low-Level,✓,✗,✗,✗
bfd_elf_sizeof_headers,Low-Level,✓,✗,✗,✗
bfd_elf_slurp_secondary_reloc_section,Low-Level,✓,✗,✗,✗
bfd_elf_slurp_version_tables,Low-Level,✓,✗,✗,✗
bfd_elf_stack_segment_size,Low-Level,✓,✗,✗,✗
bfd_elf_string_from_elf_section,Low-Level,✓,✗,✗,✗
bfd_elf_strip_zero_sized_dynamic_sections,Low-Level,✓,✗,✗,✗
bfd_elf_strtab_addref,Low-Level,✓,✗,✗,✗
bfd_elf_strtab_clear_all_refs,Low-Level,✓,✗,✗,✗
bfd_elf_strtab_delref,Low-Level,✓,✗,✗,✗
bfd_elf_strtab_finalize,Low-Level,✓,✗,✗,✗
bfd_elf_strtab_offset,Low-Level,✓,✗,✗,✗
bfd_elf_strtab_refcount,Low-Level,✓,✗,✗,✗
bfd_elf_strtab_restore,Low-Level,✓,✗,✗,✗
bfd_elf_swap_verdaux_in,Low-Level,✓,✗,✗,✗
bfd_elf_swap_verdaux_out,Low-Level,✓,✗,✗,✗
bfd_elf_swap_verdef_in,Low-Level,✓,✗,✗,✗
bfd_elf_swap_verdef_out,Low-Level,✓,✗,✗,✗
bfd_elf_swap_vernaux_in,Low-Level,✓,✗,✗,✗
bfd_elf_swap_vernaux_out,Low-Level,✓,✗,✗,✗
bfd_elf_swap_verneed_in,Low-Level,✓,✗,✗,✗
bfd_elf_swap_verneed_out,Low-Level,✓,✗,✗,✗
bfd_elf_swap_versym_in,Low-Level,✓,✗,✗,✗
bfd_elf_swap_versym_out,Low-Level,✓,✗,✗,✗
bfd_elf_symbol_from_bfd_symbol,Low-Level,✓,✗,✗,✗
bfd_elf_symbol_refs_local_p,Low-Level,✓,✗,✗,✗
bfd_elf_validate_reloc,Low-Level,✓,✗,✗,✗
bfd_elf_x86_finish_relative_relocs,Low-Level,✓,✗,✗,✗
bfd_elf_x86_get_local_sym_hash,Low-Level,✓,✗,✗,✗
