Function Name,Radare2,Ghidra,Angr_Fast,Angr_Emul
bfd_elf32_write_relocs,✓,✗,✗,✗
bfd_elf32_write_shdrs_and_ehdr,✓,✗,✗,✗
bfd_elf64_bfd_from_remote_memory,✓,✗,✗,✗
bfd_elf64_checksum_contents,✓,✗,✗,✗
bfd_elf64_core_file_matches_executable_p,✓,✗,✗,✗
bfd_elf64_core_file_p,✓,✗,✗,✗
bfd_elf64_core_find_build_id,✓,✗,✗,✗
bfd_elf64_object_p,✓,✗,✗,✗
bfd_elf64_slurp_reloc_table,✓,✗,✗,✗
bfd_elf64_slurp_symbol_table,✓,✗,✗,✗
bfd_elf64_swap_dyn_in,✓,✗,✗,✗
bfd_elf64_swap_dyn_out,✓,✗,✗,✗
bfd_elf64_swap_phdr_in,✓,✗,✗,✗
bfd_elf64_swap_phdr_out,✓,✗,✗,✗
bfd_elf64_swap_reloc_in,✓,✗,✗,✗
bfd_elf64_swap_reloc_out,✓,✗,✗,✗
bfd_elf64_swap_reloca_in,✓,✗,✗,✗
bfd_elf64_swap_reloca_out,✓,✗,✗,✗
bfd_elf64_swap_symbol_in,✓,✗,✗,✗
bfd_elf64_swap_symbol_out,✓,✗,✗,✗
bfd_elf64_write_out_phdrs,✓,✗,✗,✗
bfd_elf64_write_relocs,✓,✗,✗,✗
bfd_elf64_write_shdrs_and_ehdr,✓,✗,✗,✗
bfd_elf_add_dt_needed_tag,✓,✗,✗,✗
bfd_elf_add_dynamic_entry,✓,✗,✗,✗
bfd_elf_add_dynamic_tags,✓,✗,✗,✗
bfd_elf_add_obj_attr_int,✓,✗,✗,✗
bfd_elf_add_obj_attr_int_string,✓,✗,✗,✗
bfd_elf_add_obj_attr_string,✓,✗,✗,✗
bfd_elf_adjust_dynamic_copy,✓,✗,✗,✗
bfd_elf_adjust_dynamic_symbol,✓,✗,✗,✗
bfd_elf_adjust_eh_frame_global_symbol,✓,✗,✗,✗
bfd_elf_allocate_ifunc_dyn_relocs,✓,✗,✗,✗
bfd_elf_allocate_object,✓,✗,✗,✗
bfd_elf_archive_symbol_lookup,✓,✗,✗,✗
bfd_elf_assign_file_position_for_section,✓,✗,✗,✗
bfd_elf_attr_strdup,✓,✗,✗,✗
bfd_elf_bfd_from_remote_memory,✓,✗,✗,✗
bfd_elf_canonicalize_dynamic_reloc,✓,✗,✗,✗
bfd_elf_canonicalize_dynamic_symtab,✓,✗,✗,✗
bfd_elf_canonicalize_reloc,✓,✗,✗,✗
bfd_elf_canonicalize_symtab,✓,✗,✗,✗
bfd_elf_check_kept_section,✓,✗,✗,✗
bfd_elf_compute_section_file_positions,✓,✗,✗,✗
bfd_elf_convert_gnu_properties,✓,✗,✗,✗
bfd_elf_convert_gnu_property_size,✓,✗,✗,✗
bfd_elf_copy_obj_attributes,✓,✗,✗,✗
bfd_elf_copy_private_bfd_data,✓,✗,✗,✗
bfd_elf_copy_private_header_data,✓,✗,✗,✗
bfd_elf_copy_private_section_data,✓,✗,✗,✗
bfd_elf_copy_special_section_fields,✓,✗,✗,✗
bfd_elf_create_dynamic_sections,✓,✗,✗,✗
bfd_elf_create_got_section,✓,✗,✗,✗
bfd_elf_create_ifunc_sections,✓,✗,✗,✗
bfd_elf_default_action_discarded,✓,✗,✗,✗
bfd_elf_define_linkage_sym,✓,✗,✗,✗
bfd_elf_define_start_stop,✓,✗,✗,✗
bfd_elf_discard_info,✓,✗,✗,✗
bfd_elf_discard_section_eh_frame,✓,✗,✗,✗
bfd_elf_discard_section_eh_frame_hdr,✓,✗,✗,✗
bfd_elf_discard_section_sframe,✓,✗,✗,✗
bfd_elf_dynamic_symbol_p,✓,✗,✗,✗
bfd_elf_eh_frame_entry_present,✓,✗,✗,✗
bfd_elf_eh_frame_present,✓,✗,✗,✗
bfd_elf_eh_frame_section_offset,✓,✗,✗,✗
bfd_elf_end_eh_frame_parsing,✓,✗,✗,✗
bfd_elf_export_symbol,✓,✗,✗,✗
bfd_elf_filter_global_symbols,✓,✗,✗,✗
bfd_elf_final_link,✓,✗,✗,✗
bfd_elf_final_write_processing,✓,✗,✗,✗
bfd_elf_find_function,✓,✗,✗,✗
bfd_elf_find_line,✓,✗,✗,✗
bfd_elf_find_nearest_line,✓,✗,✗,✗
bfd_elf_find_nearest_line_with_alt,✓,✗,✗,✗
bfd_elf_fix_symbol_flags,✓,✗,✗,✗
bfd_elf_fixup_eh_frame_hdr,✓,✗,✗,✗
bfd_elf_fixup_group_sections,✓,✗,✗,✗
bfd_elf_free_cached_info,✓,✗,✗,✗
bfd_elf_gc_common_final_link,✓,✗,✗,✗
bfd_elf_gc_common_finalize_got_offsets,✓,✗,✗,✗
bfd_elf_gc_keep,✓,✗,✗,✗
bfd_elf_gc_mark,✓,✗,✗,✗
bfd_elf_gc_mark_dynamic_ref_symbol,✓,✗,✗,✗
bfd_elf_gc_mark_extra_sections,✓,✗,✗,✗
bfd_elf_gc_mark_fdes,✓,✗,✗,✗
bfd_elf_gc_mark_reloc,✓,✗,✗,✗
bfd_elf_gc_mark_rsec,✓,✗,✗,✗
bfd_elf_gc_record_vtentry,✓,✗,✗,✗
bfd_elf_gc_record_vtinherit,✓,✗,✗,✗
bfd_elf_gc_sections,✓,✗,✗,✗
