Caller,Callee,Call Type,Radare2,Ghidra,Angr_Fast,Angr_Emul
bfd_coff_final_link,bfd_hash_table_init,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_hash_traverse,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_malloc,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_seek,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_stringtab_add,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_stringtab_emit,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_stringtab_free,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_stringtab_init,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_stringtab_size,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_write,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_write_stab_strings,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_zalloc,High-High,✓,✗,✗,✗
bfd_coff_final_link,coff_write_alien_symbol,High-High,✓,✗,✗,✗
bfd_coff_final_link,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_coff_final_link,imp.strlen,High-High,✓,✗,✗,✗
bfd_coff_gc_sections,bfd_error_handler,High-High,✓,✗,✗,✗
bfd_coff_gc_sections,bfd_link_hash_lookup,High-High,✓,✗,✗,✗
bfd_coff_gc_sections,imp.dcgettext,High-High,✓,✗,✗,✗
bfd_coff_gc_sections,imp.strncmp,High-High,✓,✗,✗,✗
bfd_coff_link_hash_table_init,bfd_hash_table_init,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,bfd_abort,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,bfd_alloc,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,bfd_assert,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,bfd_coff_read_internal_relocs,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,bfd_coff_read_string_table,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,bfd_error,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,bfd_error_handler,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,bfd_hash_lookup,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,bfd_octets_per_byte,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,bfd_read,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,bfd_release,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,bfd_seek,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,bfd_set_error,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,bfd_stringtab_add,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,bfd_write,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,bfd_write_section_stabs,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,imp.__isoc23_strtoul,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,imp.dcgettext,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,imp.memset,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,imp.strcmp,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,imp.strcpy,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,imp.strlen,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,imp.strncmp,High-High,✓,✗,✗,✗
bfd_coff_link_input_bfd,rflags,High-High,✓,✗,✗,✗
bfd_coff_read_internal_relocs,bfd_malloc,High-High,✓,✗,✗,✗
bfd_coff_read_internal_relocs,bfd_read,High-High,✓,✗,✗,✗
bfd_coff_read_internal_relocs,bfd_seek,High-High,✓,✗,✗,✗
bfd_coff_read_internal_relocs,bfd_zalloc,High-High,✓,✗,✗,✗
bfd_coff_read_internal_relocs,imp.memcpy,High-High,✓,✗,✗,✗
bfd_coff_read_string_table,bfd_error_handler,High-High,✓,✗,✗,✗
bfd_coff_read_string_table,bfd_get_error,High-High,✓,✗,✗,✗
bfd_coff_read_string_table,bfd_get_file_size,High-High,✓,✗,✗,✗
bfd_coff_read_string_table,bfd_malloc,High-High,✓,✗,✗,✗
bfd_coff_read_string_table,bfd_read,High-High,✓,✗,✗,✗
bfd_coff_read_string_table,bfd_seek,High-High,✓,✗,✗,✗
bfd_coff_read_string_table,bfd_set_error,High-High,✓,✗,✗,✗
bfd_coff_read_string_table,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_coff_read_string_table,imp.dcgettext,High-High,✓,✗,✗,✗
bfd_coff_section_already_linked,bfd_section_already_linked_table_insert,High-High,✓,✗,✗,✗
bfd_coff_section_already_linked,bfd_section_already_linked_table_lookup,High-High,✓,✗,✗,✗
bfd_coff_section_already_linked,imp.dcgettext,High-High,✓,✗,✗,✗
bfd_coff_section_already_linked,imp.strchr,High-High,✓,✗,✗,✗
bfd_coff_section_already_linked,imp.strcmp,High-High,✓,✗,✗,✗
bfd_coff_section_already_linked,imp.strncmp,High-High,✓,✗,✗,✗
bfd_coff_write_armap,bfd_ar_sizepad,High-High,✓,✗,✗,✗
bfd_coff_write_armap,bfd_ar_spacepad,High-High,✓,✗,✗,✗
bfd_coff_write_armap,bfd_set_error,High-High,✓,✗,✗,✗
bfd_coff_write_armap,bfd_write,High-High,✓,✗,✗,✗
bfd_coff_write_armap,bfd_write_bigendian_4byte_int,High-High,✓,✗,✗,✗
bfd_coff_write_armap,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_coff_write_armap,imp.strlen,High-High,✓,✗,✗,✗
bfd_coff_write_armap,imp.time,High-High,✓,✗,✗,✗
bfd_coff_write_global_sym,bfd_abort,High-High,✓,✗,✗,✗
bfd_coff_write_global_sym,bfd_error_handler,High-High,✓,✗,✗,✗
bfd_coff_write_global_sym,bfd_hash_lookup,High-High,✓,✗,✗,✗
bfd_coff_write_global_sym,bfd_seek,High-High,✓,✗,✗,✗
bfd_coff_write_global_sym,bfd_stringtab_add,High-High,✓,✗,✗,✗
bfd_coff_write_global_sym,bfd_write,High-High,✓,✗,✗,✗
bfd_coff_write_global_sym,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_coff_write_global_sym,imp.dcgettext,High-High,✓,✗,✗,✗
bfd_coff_write_global_sym,imp.strlen,High-High,✓,✗,✗,✗
bfd_coff_write_global_sym,imp.strncpy,High-High,✓,✗,✗,✗
bfd_coff_write_task_globals,bfd_coff_write_global_sym,High-High,✓,✗,✗,✗
bfd_compress_section,bfd_set_error,High-High,✓,✗,✗,✗
bfd_compute_and_write_armap,bfd_alloc,High-High,✓,✗,✗,✗
bfd_compute_and_write_armap,bfd_check_format,High-High,✓,✗,✗,✗
bfd_compute_and_write_armap,bfd_error_handler,High-High,✓,✗,✗,✗
bfd_compute_and_write_armap,bfd_malloc,High-High,✓,✗,✗,✗
